image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,14 1 0 0 1 1
004f33259ee4aef671c2b95d54e4be68,7 0.7680885791778564 1143.5093 1335.5846 1829.9308 1827.7355 3 0.5402469038963318 977.29913 1407.1526 1940.9457 1827.3755
008bdde2af2462e86fd373a445d0f4cd,0 0.9819460511207581 1303.0175 816.9963 1735.1619 1184.8167 8 0.9046102166175842 1392.2184 830.75555 1741.8635 1184.0496
009bc039326338823ca3aa84381f17f1,14 1 0 0 1 1
00a2145de1886cb9eb88869c85d74080,7 0.8848969340324402 1210.9208 1244.5746 1815.8436 1633.261 3 0.8593356013298035 735.32623 1327.3347 1934.3069 1649.8823
00b7e6bfa4dc1fe9ddd0ce74743e38c2,9 0.7040649652481079 1394.7144 817.27576 1625.4215 1162.0603
011295e0bcdc7636569ab73bfdcc4450,14 1 0 0 1 1
013c169f9dad6f1f6485da961b9f7bf2,9 0.6679409146308899 1247.6332 717.8746 1433.7247 1169.2816
01431a2618c0ace741e4e270a37e20b9,3 0.5707064867019653 1052.4514 1428.9569 2100.6318 1814.7933
0168eb925aa6f28a78b16134792f5d0e,14 1 0 0 1 1
016bc723c3ceedb78e27ebfe7032498e,14 1 0 0 1 1
0171021638f9272a34a41feb84ed47a0,14 1 0 0 1 1
019df578e38053e614d483f7fb347b26,14 1 0 0 1 1
01ded16689539deb30d0981fafd18465,14 1 0 0 1 1
01eb30a37b6f5fed8a8d3ab2d1c0a7d6,5 0.8401875495910645 166.14296 275.12396 939.73645 1617.3318 10 0.6241334080696106 1852.9629 1376.9866 2086.33 1798.779 5 0.6074306964874268 1116.8855 150.08446 1989.148 1543.5873 8 0.5936270356178284 267.35403 216.91893 842.7819 1559.795
01f8f17dba6c5e67ba5bcf30ce70ea3f,14 1 0 0 1 1
02199417ff2a400cff64249f0399f0d7,9 0.7496106624603271 1560.8134 552.2271 1792.8798 912.8976 7 0.5735198259353638 1610.0664 1115.3704 2209.1658 1705.5814
022a62478444fedf2dea1ba91aafdc48,14 1 0 0 1 1
02425334e92510da663eb913ad0632ea,14 1 0 0 1 1
024e693014e70d448f650267bed661ae,9 0.5296832323074341 1088.8846 1571.8678 1766.2917 1970.7162
0271d381c3e88527721efcfaf518be71,9 0.6646856665611267 1270.1027 1641.0704 2006.3192 2205.5718
0291515f5d14c34180a15712a55bf7bd,0 0.7877334356307983 1241.0026 745.4061 1646.2297 1020.0068
02b0ad6e22487b7e3f08093c42444b0f,8 0.9963690042495728 473.02856 865.19916 583.31415 988.2711 8 0.9949336647987366 347.34238 1049.996 443.86392 1144.3419 8 0.9942227005958557 1345.9832 1139.3684 1461.3864 1252.5774 8 0.9913637638092041 353.01465 920.8691 437.84418 966.7864 8 0.9870049357414246 556.0036 715.5424 606.87354 763.55365 8 0.9798725843429565 402.55554 784.65625 471.73215 828.9473 8 0.8520011901855469 283.25284 1570.7745 359.96826 1648.4503 8 0.6766433715820312 330.58517 960.6839 435.3295 1152.2904 13 0.541753888130188 325.40518 930.01294 428.39407 1168.7449
02d04b6b6883fd92c12a3dde5d2ff6c0,9 0.9630899429321289 1217.4058 501.23447 1755.0192 2110.8176 9 0.9306451082229614 2340.2937 2545.675 2648.6978 2924.0288 3 0.8821552395820618 981.7416 1624.7007 2224.9238 2147.3853
034814210bf2105ecb3e7ed6876f43e9,14 1 0 0 1 1
034b98d64dc012298afb3d33fe880193,9 0.8888756036758423 1274.0916 300.13745 1430.7119 863.9517 7 0.7381550073623657 1310.912 942.4846 1904.631 1466.5277
037503b94eb68a16587a78bce365e681,0 0.9844433069229126 1237.9927 562.1568 1583.1185 896.19946 9 0.563332200050354 1265.6893 1287.106 1634.5027 1777.1572 7 0.5041394829750061 1326.4402 1298.2471 1660.9519 1746.2864
037dc0be7504c7d1c5ff967f4a0a491a,14 1 0 0 1 1
0386d9b8234215dc50eb1f66eb206d85,14 1 0 0 1 1
038f69f3cf0aaa00c9d7337be434f316,14 1 0 0 1 1
03a2e400656f58841beb7f62584ee3e9,14 1 0 0 1 1
03a395d9fc03a6f8c5a50e693c20ab15,7 0.6584237813949585 1546.2758 1698.9998 1769.0258 1940.9344
03aca410943c7f131b16572f03ee2cf6,14 1 0 0 1 1
03b796fd180662c4e579a4b8894486a9,7 0.6593227982521057 1372.4664 1378.5955 1763.048 1885.0555
03caacd475acb947a2f11d1a0d76a971,10 0.7815977931022644 119.727684 1621.6532 253.31248 1804.3853 0 0.6690754294395447 1018.70636 572.26843 1345.266 829.9918 11 0.5574072599411011 110.06547 1613.0898 256.5741 1827.448
03da4593b25a2e0095170197050cb551,14 1 0 0 1 1
03ea976a276b66285825246525357949,0 0.7775353193283081 1171.6263 839.4475 1714.8501 1248.1478
03f00327702f48c4b6726a0e1649a157,7 0.9372358918190002 371.7989 1312.4447 716.81696 1751.7906
03f4ef7ff19190f220b13c0059ac506b,14 1 0 0 1 1
03f9ce3f34a38cf5c6411acd8fd4c5ff,14 1 0 0 1 1
0403dda5a9bf46457517b604869d530d,14 1 0 0 1 1
041c40e3f03d9af32b594c5186575a61,13 0.8388661742210388 1701.6189 476.9701 1862.6207 689.318
043111cdad4d26204503d3396876046f,14 1 0 0 1 1
045a16fa7dd72c16b7b7d44ff10be428,9 0.9788884520530701 1720.0668 2099.1372 1947.4198 2470.3071 7 0.6277928948402405 1204.124 1329.1674 1828.7677 1770.5535 5 0.6161236763000488 1472.4534 719.203 1986.4397 1871.7614 9 0.6053854823112488 1237.3438 1377.5197 1775.2811 1766.2972
0461006c3061e71f2cf28da9565d7288,14 1 0 0 1 1
04669ec4821d2dde14eb2f9a3f47eb7e,13 0.719612181186676 1652.017 1688.5956 1803.3636 1755.8165
047815a469503dfe21da4a12e2514a15,14 1 0 0 1 1
048ce999447fbb6a58ea17fac775288b,14 1 0 0 1 1
0493431e2beef20230dfc2837e95fe7b,14 1 0 0 1 1
0493df0059bd251e6dbb0dc71f5c5b45,5 0.9886610507965088 186.638 255.1072 941.674 2078.0312 13 0.7371519207954407 1726.1335 1635.8738 2088.6877 1868.8923 9 0.6032142043113708 705.3477 841.64246 2164.3906 2092.5093 8 0.5922731757164001 364.02924 380.6897 880.0469 1406.1166 2 0.5229264497756958 1308.7245 603.21423 1649.4102 1022.429 13 0.5156718492507935 302.78943 441.79886 938.84686 1482.9122
04b68e83e611caf345b0a1dc9c65ec88,14 1 0 0 1 1
04b700c4815f088728db9f093c739707,9 0.7528706789016724 1443.6686 1653.6172 1929.8949 2412.3757
04c6efbd31a676bb888a4f5bf53d03c1,14 1 0 0 1 1
04cc236166c1ff638ff6200f2f2a397d,14 1 0 0 1 1
04da0054eed9aa1c8b95ade5e6c16a00,14 1 0 0 1 1
051b1b1edcbaa44059c7b3edbe70c3b8,10 0.9305251836776733 373.1937 1221.8348 843.37665 1868.9913 10 0.8230267763137817 379.9863 1177.47 635.0095 1553.0309
0538230ced64be2db111ff5d07624db1,14 1 0 0 1 1
056815f22ac3de9b9eb6fb963d4cfa5a,14 1 0 0 1 1
05711a72a0819422965daa93f30b6f75,14 1 0 0 1 1
057afd48abd153972bb91397b71b66b8,13 0.8483707904815674 759.8591 1577.499 1047.0938 1796.0188 8 0.7706066966056824 847.857 1607.1403 1026.0891 1790.719 7 0.7032644748687744 2251.506 1001.53827 2382.5396 1146.4568 9 0.6386704444885254 1569.4652 824.79266 1835.3716 1082.7542
05857909cbf214a6cbdef5306e18d48e,14 1 0 0 1 1
059ad332961631d8d2f4ab468a7e42d3,14 1 0 0 1 1
05a548fd37b6e44ab97a48dabee57c21,14 1 0 0 1 1
05a7460866e0d128b5db471431675483,14 1 0 0 1 1
05dbd765ff84cbb24759b0c135ba4447,14 1 0 0 1 1
05e951c63e80999f13e6e09e7ec8439a,14 1 0 0 1 1
05fd4bbf127858eb83ae01cd454d3e2a,14 1 0 0 1 1
065473884bfa339d2e464e5394d56fd6,7 0.615515947341919 1235.6721 1396.7577 1697.5156 1804.911
069198879ff8140bab6c47c58242a0a4,14 1 0 0 1 1
0713502741102f3e494fb39bbd9f9571,14 1 0 0 1 1
071e3d1deecabb75178035e8dbad8b4d,14 1 0 0 1 1
07229c769cb2c284c1114c6fe7ed3dd6,14 1 0 0 1 1
07304e029b89fc007bd64b7c9bb52979,14 1 0 0 1 1
074e3cceb0c1677a1ad0dbff31167d7d,10 0.9846869111061096 1722.9496 1765.8835 2153.9 2175.9292 10 0.9629828333854675 1938.3595 1849.3527 2141.2427 2137.4634 7 0.9456036686897278 1250.5703 1505.6586 1715.8118 1934.1602 6 0.9260489344596863 241.0603 727.3518 820.86383 1413.9763 10 0.8977136611938477 1447.2819 1717.2523 2100.2917 2209.7896 10 0.8469849824905396 42.841965 1326.6558 792.6878 1969.2377 7 0.6079703569412231 1229.8011 1574.9708 2102.6504 2093.4463
0764ce517782604a7b81bb6e17c798e9,14 1 0 0 1 1
0792bb20718b8006f78094ae449c3c96,9 0.7758082151412964 1175.3318 1084.0762 1941.1564 2128.0125 5 0.5545392632484436 154.67084 501.61142 849.98285 1945.1873
0799063103aea263344a77adbde5b7ca,14 1 0 0 1 1
079de341c7b3804c37114b8da3011b45,14 1 0 0 1 1
07c1810b7cb0d7ef900ab2b0007784cf,14 1 0 0 1 1
07cdcea9a6c3049d7a02ade9c680d4d7,14 1 0 0 1 1
07dcda506753ae678e2cc937f1f8ddf2,14 1 0 0 1 1
07ea0f8d7b7f1fb150c5afb04dc26c9a,14 1 0 0 1 1
07ee04ca7bb66d99ae283ded05f1af76,14 1 0 0 1 1
07ee5d541dcbf1131f0b84aee73d7705,14 1 0 0 1 1
07fecb6f57a3d452c4764b1013740141,7 0.9250214695930481 1322.9113 1203.2698 1734.8142 1691.3086 3 0.7346360087394714 706.568 1424.8162 1665.2903 1694.5851 11 0.6048635244369507 1857.3508 1518.7228 2013.4952 1709.8508
080fd678b461536e6e1b5d9b17093cdb,9 0.9618769884109497 1908.9587 515.2478 2042.6394 652.4073 0 0.8943400979042053 1236.4626 595.8048 1599.2678 924.9992 7 0.6143205761909485 1411.7549 1345.1779 1936.4905 1971.2341 5 0.5783665180206299 1445.3376 1128.2823 2102.588 1960.946
08504fa0ea409654d6328e51de2fb3b9,14 1 0 0 1 1
08534e46be27043b31a2b648d7c62350,14 1 0 0 1 1
08807797eff7d24d76e4817a3a38477e,9 0.6877046227455139 1101.361 769.6671 2122.7454 2353.9678
08cad5510452011e9c519bbbc9741fda,14 1 0 0 1 1
08d6125cda5ffceb8f235c96179a7061,14 1 0 0 1 1
08e4edc0d35455c8e25a74b9ed3137b0,14 1 0 0 1 1
08ee53ea1825d6e2feffc2a6488f2d7d,0 0.9854511022567749 935.81445 471.65674 1400.4012 861.6823 8 0.8430771231651306 1768.028 1413.9663 1896.7759 1520.6493 9 0.6860517859458923 1296.9299 499.02386 1457.0355 736.0874 8 0.5329007506370544 1259.5327 509.45676 1457.0809 720.63153
090a90ca6e01ed9f613578c95c151a01,14 1 0 0 1 1
0919cca5a55ea3b156f45b5cd14fe8d3,14 1 0 0 1 1
09291f525b50263a1b90764715395311,9 0.8636727333068848 1032.0925 1240.1107 1736.1888 2378.2698 9 0.756750226020813 1027.3896 1886.3834 1431.5233 2298.8542 3 0.5614282488822937 837.58057 1533.4098 1875.7266 2179.5588
094d5c1af40f7f565d8d68cf28c06ba5,14 1 0 0 1 1
094eac6e63db15465c6283c090398aa8,14 1 0 0 1 1
0956d88d67ce080413b1b3ac20ab8622,9 0.6766765713691711 1729.8456 1808.3717 1963.1375 1950.4733
095f8f367727ccd7fc0bf95380399b39,8 0.9226126074790955 443.74948 857.0102 502.82224 906.0877
099e4272e7aa6f18b8fa322e1277c6a9,14 1 0 0 1 1
09b017424bf8f0c76ba99e4f0dfc0019,14 1 0 0 1 1
09defc0d2204d156a38f8391e491e7b2,14 1 0 0 1 1
09f6d7dd9a59caf6c35604c0d0d2b74b,13 0.8279675841331482 1276.4841 436.76764 1475.3221 594.9486
0a08191a658edb1327e7282045ec71cf,14 1 0 0 1 1
0a1addecfc432a1b425d61fe57bc29d2,14 1 0 0 1 1
0a2e45455fe2c76ddbbb5f38ab35f6f2,5 0.5746524930000305 643.5051 1152.0248 1275.8389 1951.4941
0a6fd1c1d71ff6f9e0f0afa746e223e4,10 0.7285317182540894 283.8816 1121.324 917.50244 1989.2041
0a8dc3de200bc767169b73a6ab91e948,14 1 0 0 1 1
0aa034371e578904c6789c08e4118733,11 0.9348761439323425 1653.3334 329.6881 1931.3381 512.0541 3 0.9090790748596191 734.254 1366.9419 1981.6964 1777.1294 7 0.8394489288330078 1531.898 1281.5118 1908.6602 1729.5023 11 0.8197834491729736 2185.2454 1752.3352 2340.0024 2100.4697
0aa43b52e98700f8696bf36c10a76cea,14 1 0 0 1 1
0aed23e64ebdea798486056b4f174424,10 0.9848455190658569 134.25133 1707.5322 308.87558 1947.3176 10 0.9665320515632629 1723.0156 1718.5844 2171.4094 2193.1357 6 0.9582716822624207 181.35191 1294.9902 806.8788 1829.1678 8 0.8442850708961487 387.41605 1671.221 519.08466 1774.8964 10 0.805663526058197 128.48952 1747.9893 441.456 1951.3439 7 0.8025546073913574 1676.8883 1709.4885 2095.2341 2004.9175 10 0.7765683531761169 1870.9473 1824.0646 2151.7432 2152.4644 7 0.7221788763999939 180.88493 601.2088 994.7688 1762.6598 10 0.7101241946220398 140.88809 1771.4558 268.51053 1927.8885 7 0.6606023907661438 189.96782 1108.8478 913.8447 1822.2513 11 0.6262049078941345 145.46936 1784.6373 255.84315 1945.6965 7 0.6018505096435547 349.877 1654.2721 523.34045 1810.4524 10 0.5269126296043396 1383.4342 1760.9142 2147.4902 2205.3403 10 0.5039063096046448 121.834625 1755.6781 731.28345 1980.2706
0aee8c95a5c040407100c1b7dda552ef,14 1 0 0 1 1
0af6decdf00b39d4cd1d35466bd3dff9,14 1 0 0 1 1
0af8628f5cbe0786db483a10934d1be5,14 1 0 0 1 1
0b11df4854ce5671a6abcac2c43b0590,14 1 0 0 1 1
0b16787b884e51fec691c45ca92c884b,14 1 0 0 1 1
0b1f7b86b0ddb459fb779c6d473d96ad,10 0.9703839421272278 1650.0363 1932.0587 2002.6823 2289.145 5 0.7332274913787842 302.22922 946.9175 940.0854 2026.2987
0b2105548746dc55aa03324d07e2a2ed,8 0.7952937483787537 1778.0518 1684.5298 1854.399 1745.9169
0b2cc81ad04ca2e91f2a8626b645cad8,14 1 0 0 1 1
0b3f7238925b27dfb99c7e53a6db52c7,7 0.7178765535354614 1446.6812 1305.3596 1913.9302 2082.6504
0b4888cfca12e55c3020026d4a0c33a4,14 1 0 0 1 1
0b4e8de571c66cf889f2beb35182974b,14 1 0 0 1 1
0b7b8344c7c39373cfddf21a7339f206,9 0.7874954342842102 896.9363 861.4796 1296.7852 1316.1141
0b877b934aada3284ac13cfa74b5419c,14 1 0 0 1 1
0b8ec8f17db23936e86de9ca3f36d206,7 0.7176137566566467 1880.7438 1450.9634 2225.8108 1969.5706
0b9f58b6f12a231738723f4d2dda0312,0 0.7020769119262695 1300.8185 744.68463 1617.4749 1068.1461
0bfd35d7f2b63b1ef799fefb18605191,9 0.9430980086326599 1701.9789 873.94684 2326.4792 2071.3293
0c0097d1ce174bc3bd6a0268b01ea90f,3 0.9131851196289062 900.53705 1572.2578 1942.2087 2112.2764 7 0.8244980573654175 1424.6277 1489.1299 1943.2234 2065.0266
0c03e73d43ad216fb293bdb7666439be,14 1 0 0 1 1
0c0b8e98262a662c362929aa60e6bed9,14 1 0 0 1 1
0c15e19c74ef8ddd9bed0a4fc7f4b5a8,14 1 0 0 1 1
0c187ebe652499a7e28fd93da2e42ebb,14 1 0 0 1 1
0c26e997c79d2a3149cf1a62c9444554,11 0.9773939847946167 1741.8248 498.556 2161.6067 599.9554
0c5bc5fdf756d1251e431c9281349376,14 1 0 0 1 1
0c6036df3708fe77c1c76498240d6774,8 0.516277551651001 1669.4595 1356.703 1714.7538 1409.0973
0c6f7b76bcc012fc5a9af4470f735aba,14 1 0 0 1 1
0c785dff51447d6e689e15dcfe10c8e2,7 0.7505159378051758 393.03363 443.5795 948.7871 1102.1174 8 0.68075031042099 527.67413 540.04694 967.49927 992.318 4 0.561905026435852 492.12613 514.33795 973.61206 1023.51935
0c803c4810a8c5ec362f5d4504489431,11 0.9971858859062195 817.7778 516.1581 1089.3483 581.51666 11 0.8311049938201904 1668.6473 477.78088 1917.6752 574.93884
