image_id,PredictionString
83caa8a85e03606cf57e49147d7ac569,0 0.2 1057 742 1336 1046 3 0.8 801 1170 1742 1508
7550347fa2bb96c2354a3716dfa3a69c,5 0.3 1789 1336 2211 2164 0 0.7 1234 725 1527 1064
74b23792db329cff5843e36efb8aa65a,8 0.2 708 1115 806 1213 2 0.2 708 1115 806 1213
94568a546be103177cb582d3e91cd2d8,0 0.5 950 1039 1215 1338 3 0.7 635 1647 1507 1927
6da36354fc904b63bc03eb3884e0c35c,9 0.2 1506 1123 1646 1272 13 0.2 1514 1118 1646 1272 11 0.3 1506 1123 1646 1276 11 0.3 554 288 855 371 0 0.6 1072 543 1297 775 13 0.7 1478 733 1691 859
5b3620a56668010877cfafa9322e18b5,11 0.2 1419 27 1693 163 0 0.7 1300 365 1588 692
5157d5c9b1f0004b29310652ea54e825,0 0.3 1293 852 1578 1165
74897408dcbd69ef7c76cbbbbeb722d6,3 0.8 1230 1566 2274 1926 0 0.8 1608 786 1878 1086
271290de7e7e4fb8aa1c31327f48f4b5,0 0.2 1078 628 1312 876 10 0.2 117 1957 194 2078 11 0.2 117 1957 194 2083
cdb9c0046cc8f9e32fcafc5517000525,7 0.2 648 1032 1302 2004
eb4c1f7a8fcd7ee076ae9f5eca8d05fc,11 0.2 1227 541 1511 631 0 0.7 1090 864 1316 1125
366fb4e84d6940ea74267b32edbd1311,12 0.2 666 1512 1146 1824 9 0.3 648 1542 1296 1866 3 0.4 1218 1452 2286 1740 0 0.8 1626 816 1956 1170
f5f77203f00504c40b45a65d23cd8948,11 0.2 567 567 763 704
212dc39b6ba6941b034c2cd92cf97a8d,0 0.5 1392 870 1956 1386 0 0.7 1650 864 1956 1248
a5eabc3dd2734b211c9b09205443a2ea,13 0.2 1638 1097 2017 1839 11 0.3 370 327 1077 847 11 0.3 497 316 885 565 0 0.4 1241 665 1465 942 11 0.5 1378 366 1811 526 5 0.5 1579 1019 2012 1822 5 0.5 356 465 1022 1667 11 0.6 607 321 1086 493 5 0.6 1414 465 2044 1861 13 0.6 406 847 575 947
c374e62c67f8e7a4d460e37d56bfa852,14 1 0 0 1 1
cb3b210015a31adab114493e1150eaf8,14 1 0 0 1 1
6cbf4295b5b72bc01ef6fd171ef7733e,7 0.2 1685 1352 2023 1648 5 0.2 1569 1252 2023 1658 10 0.2 1716 1467 2067 1768 13 0.2 1778 1400 2018 1486 10 0.2 1876 1577 2072 1749
564141a415cfa32841bb2de146faa5eb,0 0.3 1471 1037 1729 1318
fc28fc9ede2c505c2125343c048124b6,0 0.4 1159 560 1401 801 11 0.6 447 222 657 406
2f775125346cd62232d8e835794941c0,11 0.2 1487 311 1668 364 11 0.2 1659 482 1809 664 13 0.2 1736 487 1822 611 11 0.3 444 418 644 562 11 0.3 1510 300 1813 461 11 0.3 589 370 934 471 11 0.5 481 364 866 541 13 0.6 1673 493 1809 659
1fae839a73abec3f3d7436fa2bce4630,11 0.2 652 249 948 361 11 0.5 468 283 668 425 0 0.8 1072 669 1332 933
6f8320a9c444090bd55010537a9e7dcb,10 0.8 289 1562 1125 2318
da35978a37f990de5a0d68b1e9399e9e,3 0.4 1207 1611 2314 2209 0 0.6 1242 949 1898 1389
5b6707d336c733e0a8d4233bb08483c7,14 1 0 0 1 1
c06b82fd93dbc1cc113b779b69b1696a,0 0.7 1102 574 1297 802
bb5ffb34f5baa01ec1e47df249046609,7 0.4 1763 1369 2180 2287 0 0.6 1326 844 1607 1150
615be21de05d7049ddb1652520d7f528,0 0.4 818 543 1372 912 5 0.4 1205 178 2005 1655 5 0.5 189 340 906 1447 3 0.7 765 1244 1816 1609
c4311217936b89f9dbcc6fb57e00b40d,0 0.6 1328 794 1624 1087
4317ccff1c5ab145abf05130c49402b0,0 0.6 1198 773 1487 1030 3 0.8 890 1345 2030 1694
39af4d0dbe33277af4520b6bdee5e1b2,0 0.7 1443 553 1763 907
90298b04a0c568ee2144c3431711b30e,9 0.4 241 1571 868 1970 13 0.6 1577 1642 1799 1732 0 0.6 1145 949 1351 1172 3 0.8 826 1471 1690 1770
b440e6708f332a8be9eeccc368b0df24,11 0.2 634 515 1013 643 4 0.2 1446 1075 2080 1933 7 0.2 1611 1136 1889 1473 4 0.3 1611 1130 1889 1490 9 0.3 278 1689 762 2027 7 0.3 1451 1069 2080 1939 11 0.4 1565 565 1811 731 11 0.6 593 515 821 687 3 0.6 789 1523 1953 1928 0 0.8 1218 842 1497 1152
415fe8e39c0546ff191f8e33888f09d4,0 0.2 1032 593 1246 840
6febf1e7c57204153c4751a1bf6e39cc,3 0.2 1055 1354 2045 1869 0 0.3 1260 820 1734 1172
a2a2bd5197fb23da123f610e00d8b08e,11 0.2 1445 198 1827 310 11 0.3 573 204 955 341
e541711f560cd700d7fdddd1d3dd98d4,11 0.3 506 413 767 475 0 0.3 639 693 1141 1310 0 0.8 931 693 1137 897
99ccfe1695993a5275d11aad4e2abb9c,14 1 0 0 1 1
3e86f7a0078799279f334db4074f109e,13 0.3 456 536 759 845 3 0.3 693 1486 1402 1761 11 0.7 498 456 783 565 0 0.8 950 712 1203 982
218e819ed8c0fe25c92ee7f1d5b993c7,2 0.2 1057 679 1285 959 11 0.3 159 1607 325 1902 10 0.3 159 1628 321 1908 2 0.5 1155 726 1277 881
7db8d2571612fa51c3fea231524803cc,11 0.2 764 204 1177 316 11 0.2 1553 161 1930 260
9a7c3ac63356de02fc79d613fccee843,14 1 0 0 1 1
7333af45f987aed199da0aed5dd59fd6,0 0.7 1246 709 1547 1069
6ee33e87bb9db350f4492c105b484d7b,5 0.2 1137 488 1967 2046 7 0.3 639 717 783 896 0 0.3 835 747 1388 1205 8 0.5 643 727 788 891
6a7a509436c9822e6481247f7df41779,0 0.2 912 553 1687 1092
4736524816401e7b31cfb0cac71d7a8e,0 0.8 1354 570 1642 858 3 0.9 997 1410 2019 1962
594fb89413087c080ddd2c97a3f6acf0,3 0.7 1181 1627 2374 2001 0 0.8 1583 754 1938 1133
1b2df8b1ebcd4cf26b828e96dd54304a,0 0.5 1076 640 1308 884 3 0.8 808 1094 1652 1357
232e100235a5357cf19c135892af7d83,12 0.2 366 396 1494 2490 11 0.2 1878 426 2220 510 11 0.3 780 414 1092 720
76482dd89d7d8ea3650e9a0b8e01aba6,10 0.3 191 1794 288 1913 11 0.3 191 1794 284 1917 13 0.5 1756 1381 1862 1419 0 0.5 1122 707 1340 954 13 0.6 386 845 752 1096 13 0.6 1449 1277 1776 1405
f7c9af76d1b6223f1eef8f20b51f1513,10 0.2 1725 1837 1795 1946 11 0.2 1725 1841 1791 1951 0 0.7 981 655 1223 935
2b096376f5a0f62d10847e5d6f540a41,11 0.2 1176 460 1457 541 11 0.6 600 460 884 551 0 0.8 1036 759 1242 1020
884f2b574d9600dd52f4a04c9aa3a230,13 0.2 841 439 895 557 10 0.3 1967 2138 2079 2301 11 0.3 1967 2138 2079 2301 0 0.7 1255 742 1516 1046
ec73f422063ce59169c6c13d3c6227a7,11 0.2 610 393 928 494 11 0.3 573 398 767 526 0 0.7 1206 823 1455 1105
16df71f433fedfbc6c67cc338137d7e4,5 0.2 1894 1275 2461 2681 10 0.2 170 2421 263 2569 11 0.2 170 2421 263 2569 0 0.3 960 892 1863 1734 5 0.4 284 1009 991 2278 11 0.5 681 446 1058 551 11 0.6 1553 371 1966 514 0 0.7 1367 904 1837 1424
be794e647d0f6f47a4cd21964c6f96e5,0 0.7 966 938 1200 1191
56beeb20098b516474d17a9c36b23c7c,7 0.3 1511 1187 1714 1410 7 0.5 1507 1149 1784 1799 0 0.6 1145 987 1363 1201 3 0.8 818 1519 1675 1794
01431a2618c0ace741e4e270a37e20b9,0 0.8 1377 816 1652 1108 3 0.8 1058 1429 2030 1766
4d3acb5e51c6ab03ed5bc7537125ffc2,5 0.2 1684 1355 2146 2128 11 0.2 619 332 1028 479 0 0.5 985 664 1727 1225
a450a8bf5b6f81cdc6111bc26d512856,3 0.4 831 1625 2005 2009
670058d081c80065f0bc1087737093cb,14 1 0 0 1 1
9a8dfa3f9fb55a22a1fae7efeca1c326,7 0.4 273 935 794 1414 7 0.5 1336 1058 1776 1476
58baa9b0269a2987f5475a554033c4b1,3 0.4 1350 1476 2334 1860 0 0.7 1632 708 1896 960
c4232411727c2821c17c059a260427d9,10 0.2 123 1741 904 2101 0 0.2 883 720 1467 1247
3fc0d536d17610d6811d9c725999e25e,14 1 0 0 1 1
4fba6d90e4c0141270b19446fbc97796,0 0.6 1436 785 2033 1248
56237d3770e31568eb965067d2d948af,0 0.8 1143 698 1440 1024 3 0.8 877 1299 1804 1671
f026b34e04a2bfc6327f2218cf47cd73,11 0.2 2353 2947 2436 3052 10 0.2 2353 2941 2436 3059 11 0.5 707 371 1027 489
d75a718e64f556d92fada391278ac5f3,14 1 0 0 1 1
ac2ff5fbe1414b37f6c093af463a2e8c,14 1 0 0 1 1
739077a7a2add5c87ca97bda44c8bb95,12 0.2 437 330 1240 2250 8 0.4 2009 1674 2108 1770
33e9093de7567d13466efefda65aa682,14 1 0 0 1 1
5d74f8fd78068c30775dc2c98790e8b9,3 0.7 702 1672 2006 2111 0 0.8 1279 768 1727 1337
b29fdbcf453e70793197879d52dd9932,7 0.2 1414 769 1795 1362 3 0.3 740 987 1581 1319
7befd6661fd921f67f8d9cb84f98868f,0 0.2 1276 704 1599 1070
056815f22ac3de9b9eb6fb963d4cfa5a,14 1 0 0 1 1
b8603c52ef3d03e6f9da6af8a089b455,6 0.2 378 698 892 1476 4 0.2 1472 1049 1741 1642 7 0.2 405 1025 744 1452 4 0.2 362 755 884 1462 6 0.2 1418 968 1745 1571 11 0.3 1219 361 1523 441 7 0.4 1433 982 1753 1623 7 0.4 389 702 876 1476
8b9c9d55bd03bf92f252c764bdc05bcf,0 0.6 1079 498 1309 740
3215a7d4dc49d93b54635b85df536b8f,14 1 0 0 1 1
8b44752d98acbc233b093260c0f2061d,7 0.5 323 1267 833 1860
